Date,Open,High,Low,Close,Volume
1962-01-02,0.1911,0.1976,0.1911,0.1911,408858
1962-01-03,0.1911,0.1944,0.1911,0.1937,389370
1962-01-04,0.1937,0.1944,0.1924,0.1937,467127
1962-01-05,0.1937,0.195,0.1931,0.1944,467127
1962-01-08,0.1944,0.1969,0.1899,0.1937,623031
1962-01-09,0.1937,0.1976,0.1924,0.1976,311418
1962-01-10,0.1976,0.2008,0.1976,0.1995,330906
1962-01-11,0.1995,0.2065,0.1988,0.2053,992914
1962-01-12,0.2053,0.2059,0.1963,0.1988,992914
1962-01-15,0.1988,0.2001,0.1976,0.1988,311418
1962-01-16,0.1976,0.1976,0.1924,0.1937,175197
1962-01-17,0.1937,0.1937,0.1873,0.1873,194685
1962-01-18,0.1886,0.1924,0.1886,0.1911,155709
1962-01-19,0.1924,0.195,0.1924,0.195,214173
1962-01-22,0.1963,0.1982,0.1963,0.1982,175197
1962-01-23,0.1982,0.2027,0.1963,0.1976,584055
1962-01-24,0.1976,0.1976,0.1924,0.195,175197
1962-01-25,0.195,0.1956,0.1924,0.1924,77757
1962-01-26,0.1924,0.195,0.1911,0.1911,175197
1962-01-29,0.1911,0.1937,0.1911,0.1911,116733
1962-01-30,0.1911,0.1931,0.1899,0.1924,330906
1962-01-31,0.1924,0.1931,0.1911,0.1924,155709
1962-02-01,0.1924,0.1982,0.1924,0.195,623031
1962-02-02,0.195,0.1976,0.195,0.195,311418
1962-02-05,0.195,0.1969,0.195,0.195,194685
1962-02-06,0.195,0.1963,0.1937,0.1937,116733
1962-02-07,0.195,0.1976,0.195,0.1963,700788
1962-02-08,0.1988,0.2033,0.1988,0.2014,1031890
1962-02-09,0.2021,0.204,0.2021,0.2027,506103
1962-02-12,0.2027,0.2033,0.2014,0.2027,311418
1962-02-13,0.2027,0.2027,0.2001,0.2027,311418
1962-02-14,0.2021,0.2021,0.2001,0.2001,97245
1962-02-15,0.2008,0.2021,0.2008,0.2014,233661
1962-02-16,0.2027,0.2085,0.2027,0.2053,1849411
1962-02-19,0.2053,0.2053,0.2021,0.2021,408858
1962-02-20,0.2033,0.204,0.2033,0.204,116733
1962-02-21,0.2027,0.2027,0.2014,0.2014,58464
1962-02-23,0.2014,0.2021,0.2001,0.2001,214173
1962-02-26,0.1976,0.1976,0.1924,0.195,369882
1962-02-27,0.195,0.1976,0.1937,0.1937,233661
1962-02-28,0.1937,0.195,0.1918,0.1918,136221
1962-03-01,0.1924,0.1969,0.1924,0.1969,214173
1962-03-02,0.1969,0.1982,0.1956,0.1956,136221
1962-03-05,0.1963,0.1995,0.1963,0.1963,214173
1962-03-06,0.1963,0.1963,0.1937,0.1937,77757
1962-03-07,0.1924,0.1924,0.1924,0.1924,58464
1962-03-08,0.1924,0.1956,0.1918,0.1956,175197
1962-03-09,0.1956,0.1976,0.195,0.195,252954
1962-03-12,0.1956,0.1988,0.1956,0.1988,194685
1962-03-13,0.1988,0.2021,0.1988,0.2021,175197
1962-03-14,0.2021,0.204,0.2001,0.2001,291930
1962-03-15,0.2001,0.2027,0.2001,0.2014,136221
1962-03-16,0.2014,0.2021,0.2008,0.2014,58464
1962-03-19,0.2014,0.2033,0.2014,0.2014,272442
1962-03-20,0.2001,0.2001,0.1988,0.1988,116733
1962-03-21,0.1982,0.1982,0.1956,0.1956,155709
1962-03-22,0.195,0.195,0.1937,0.1937,58464
1962-03-23,0.1937,0.1963,0.1937,0.1937,214173
1962-03-26,0.1937,0.195,0.1924,0.1924,97245
1962-03-27,0.1911,0.1911,0.1899,0.1899,116733
1962-03-28,0.1892,0.1892,0.1879,0.1886,116733
1962-03-29,0.1899,0.1918,0.1899,0.1918,155709
1962-03-30,0.1918,0.1924,0.1905,0.1918,214173
1962-04-02,0.1918,0.1937,0.1899,0.1899,136221
1962-04-03,0.1899,0.1918,0.1886,0.1886,155709
1962-04-04,0.1899,0.1899,0.1899,0.1899,77757
1962-04-05,0.1899,0.1905,0.1886,0.1886,155709
1962-04-06,0.1905,0.1937,0.1905,0.1905,194685
1962-04-09,0.1905,0.1918,0.1905,0.1911,194685
1962-04-10,0.1911,0.1918,0.1905,0.1905,58464
1962-04-11,0.1905,0.1924,0.1886,0.1886,155709
1962-04-12,0.1854,0.1854,0.1796,0.1796,467127
1962-04-13,0.1796,0.1796,0.1745,0.1783,584055
1962-04-16,0.179,0.1809,0.179,0.1809,291930
1962-04-17,0.1828,0.1854,0.1828,0.1847,311418
1962-04-18,0.186,0.1886,0.186,0.1873,311418
1962-04-19,0.1873,0.1905,0.1873,0.1873,214173
1962-04-23,0.1899,0.1905,0.1899,0.1899,291930
1962-04-24,0.1905,0.1937,0.1905,0.1924,252954
1962-04-25,0.1924,0.1944,0.1918,0.1918,447639
1962-04-26,0.1911,0.1911,0.1873,0.1873,194685
1962-04-27,0.1873,0.1886,0.1834,0.1834,175197
1962-04-30,0.1802,0.1802,0.1764,0.1764,214173
1962-05-01,0.1764,0.1796,0.1757,0.1783,233661
1962-05-02,0.1783,0.1809,0.177,0.1796,155709
1962-05-03,0.1796,0.1796,0.1777,0.1783,175197
1962-05-04,0.1783,0.1796,0.1783,0.1783,116733
1962-05-07,0.177,0.177,0.1757,0.1757,155709
1962-05-08,0.1757,0.1783,0.1719,0.1719,252954
1962-05-09,0.1693,0.1693,0.1655,0.1668,408858
1962-05-10,0.1655,0.1655,0.1642,0.1642,272442
1962-05-11,0.1642,0.1668,0.1565,0.1604,389370
1962-05-14,0.1604,0.1693,0.1604,0.1693,350394
1962-05-15,0.1693,0.1706,0.1693,0.1706,175197
1962-05-16,0.1693,0.1693,0.1655,0.1655,136221
1962-05-17,0.1655,0.1655,0.1616,0.1629,136221
1962-05-18,0.1629,0.1642,0.1629,0.1642,175197
1962-05-21,0.1642,0.1642,0.1629,0.1642,58464
1962-05-22,0.1642,0.1693,0.1642,0.1642,330906
1962-05-23,0.1642,0.1642,0.1565,0.1565,369882
1962-05-24,0.1578,0.1616,0.1578,0.1578,291930
1962-05-25,0.1597,0.1616,0.1597,0.1604,584055
1962-05-28,0.1604,0.1642,0.1591,0.1591,1888387
1962-05-29,0.1527,0.1527,0.1456,0.1475,2199805
1962-05-31,0.1642,0.1693,0.1642,0.1642,1440553
1962-06-01,0.1642,0.1642,0.1604,0.1642,389370
1962-06-04,0.1635,0.1635,0.1539,0.1539,330906
1962-06-05,0.1539,0.1591,0.1527,0.1585,973426
1962-06-06,0.1585,0.1635,0.1571,0.1635,233661
1962-06-07,0.1635,0.1655,0.1578,0.1591,350394
1962-06-08,0.1591,0.1629,0.1591,0.1616,330906
1962-06-11,0.1591,0.1591,0.1571,0.1591,136221
1962-06-12,0.1565,0.1565,0.1533,0.1533,116733
1962-06-13,0.1533,0.1533,0.1488,0.1488,350394
1962-06-14,0.1462,0.1462,0.1354,0.1354,759252
1962-06-15,0.1354,0.1469,0.1334,0.1469,759252
1962-06-18,0.1469,0.1488,0.1404,0.1488,330906
1962-06-19,0.1488,0.1508,0.145,0.1488,194685
1962-06-20,0.1488,0.1488,0.145,0.1462,77757
1962-06-21,0.1437,0.1437,0.1417,0.1437,506103
1962-06-22,0.1431,0.1431,0.1398,0.1398,252954
1962-06-25,0.1385,0.1385,0.134,0.134,136221
1962-06-26,0.134,0.1373,0.134,0.134,272442
1962-06-27,0.136,0.1398,0.136,0.1398,408858
1962-06-28,0.1398,0.1411,0.1385,0.1398,175197
1962-06-29,0.1398,0.1404,0.1373,0.1373,311418
1962-07-02,0.1347,0.1385,0.1347,0.1385,97245
1962-07-03,0.1385,0.1456,0.1385,0.1456,389370
1962-07-05,0.1456,0.1462,0.1424,0.1437,194685
1962-07-06,0.1411,0.1411,0.1398,0.1398,214173
1962-07-09,0.1398,0.1398,0.1398,0.1398,19488
1962-07-10,0.145,0.1462,0.145,0.1462,486615
1962-07-11,0.1462,0.1527,0.1443,0.1527,953938
1962-07-12,0.1527,0.1527,0.1494,0.1514,389370
1962-07-13,0.1508,0.1508,0.1494,0.1508,58464
1962-07-16,0.1501,0.1501,0.1488,0.1488,77757
1962-07-17,0.1488,0.1501,0.1462,0.1462,155709
1962-07-18,0.1437,0.1437,0.1437,0.1437,97245
1962-07-19,0.1437,0.145,0.1437,0.145,116733
1962-07-20,0.145,0.1475,0.145,0.1475,155709
1962-07-23,0.1475,0.1475,0.145,0.145,97245
1962-07-24,0.145,0.1475,0.1437,0.1437,330906
1962-07-25,0.1417,0.1417,0.1398,0.1411,389370
1962-07-26,0.1398,0.1398,0.1379,0.1379,252954
1962-07-27,0.1379,0.1385,0.1373,0.1385,77757
1962-07-30,0.1398,0.1405,0.1398,0.1398,155709
1962-07-31,0.1404,0.1424,0.1404,0.1411,447639
1962-08-01,0.141,0.1411,0.1404,0.1411,136221
1962-08-02,0.1431,0.145,0.1431,0.145,155709
1962-08-03,0.145,0.1469,0.1424,0.1424,175197
